ID y x
A.00	54.016667 6.595
A.01	54.016667 6.609167
A.02	54.016667 6.623333
A.03	54.016667 6.6375
A.04	54.016667 6.651667
A.05	54.008333 6.595
A.06	54.008333 6.609167
A.07	54.008333 6.623333
A.08	54.008333 6.6375
A.09	54.008333 6.651667
A.10	54 6.595
A.11	54 6.609167
A.12	54 6.623333
A.13	54 6.6375
A.14	54 6.651667
A.15	53.991667 6.595
A.16	53.991667 6.609167
A.17	53.991667 6.623333
A.18	53.991667 6.6375
A.19	53.991667 6.651667
A.20	53.983333 6.595
A.21	53.983333 6.609167
A.22	53.983333 6.623333
A.23	53.983333 6.6375
A.24	53.983333 6.651667
