ID      X            Y
A.00   6.59500000  54.01666700
A.01   6.60916700  54.01666700
A.02   6.62333300  54.01666700
A.03   6.63750000  54.01666700
A.04   6.65166700  54.01666700
A.05   6.59500000  54.00833300
A.06   6.60916700  54.00833300
A.07   6.62333300  54.00833300
A.08   6.63750000  54.00833300
A.09   6.65166700  54.00833300
A.10   6.59500000  54.00000000
A.11   6.60916700  54.00000000
A.12   6.62333300  54.00000000
A.13   6.63750000  54.00000000
A.14   6.65166700  54.00000000
A.15   6.59500000  53.99166700
A.16   6.60916700  53.99166700
A.17   6.62333300  53.99166700
A.18   6.63750000  53.99166700
A.19   6.65166700  53.99166700
A.20   6.59500000  53.98333300
A.21   6.60916700  53.98333300
A.22   6.62333300  53.98333300
A.23   6.63750000  53.98333300
A.24   6.65166700  53.98333300
