ID y x
B.00	54.516667 6.595
B.01	54.516667 6.609167
B.02	54.516667 6.623333
B.03	54.516667 6.6375
B.04	54.516667 6.651667
B.05	54.508333 6.595
B.06	54.508333 6.609167
B.07	54.508333 6.623333
B.08	54.508333 6.6375
B.09	54.508333 6.651667
B.10	54.5 6.595
B.11	54.5 6.609167
B.12	54.5 6.623333
B.13	54.5 6.6375
B.14	54.5 6.651667
B.15	54.491667 6.595
B.16	54.491667 6.609167
B.17	54.491667 6.623333
B.18	54.491667 6.6375
B.19	54.491667 6.651667
B.20	54.483333 6.595
B.21	54.483333 6.609167
B.22	54.483333 6.623333
B.23	54.483333 6.6375
B.24	54.483333 6.651667
