ID y x
C.00	54.016667 6.971667
C.01	54.016667 6.985833
C.02	54.016667 7
C.03	54.016667 7.014167
C.04	54.016667 7.028333
C.05	54.008333 6.971667
C.06	54.008333 6.985833
C.07	54.008333 7
C.08	54.008333 7.014167
C.09	54.008333 7.028333
C.10	54 6.971667
C.11	54 6.985833
C.12	54 7
C.13	54 7.014167
C.14	54 7.028333
C.15	53.991667 6.971667
C.16	53.991667 6.985833
C.17	53.991667 7
C.18	53.991667 7.014167
C.19	53.991667 7.028333
C.20	53.983333 6.971667
C.21	53.983333 6.985833
C.22	53.983333 7
C.23	53.983333 7.014167
C.24	53.983333 7.028333
