ID      X            Y
C.00   6.97166700  54.01666700
C.01   6.98583300  54.01666700
C.02   7.00000000  54.01666700
C.03   7.01416700  54.01666700
C.04   7.02833300  54.01666700
C.05   6.97166700  54.00833300
C.06   6.98583300  54.00833300
C.07   7.00000000  54.00833300
C.08   7.01416700  54.00833300
C.09   7.02833300  54.00833300
C.10   6.97166700  54.00000000
C.11   6.98583300  54.00000000
C.12   7.00000000  54.00000000
C.13   7.01416700  54.00000000
C.14   7.02833300  54.00000000
C.15   6.97166700  53.99166700
C.16   6.98583300  53.99166700
C.17   7.00000000  53.99166700
C.18   7.01416700  53.99166700
C.19   7.02833300  53.99166700
C.20   6.97166700  53.98333300
C.21   6.98583300  53.98333300
C.22   7.00000000  53.98333300
C.23   7.01416700  53.98333300
C.24   7.02833300  53.98333300
